frame_num,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
78,6.0,[1038.2780833526765 1287.0771582583625 1682.8071521356594 1798.488564683682],[1262.509765625 1608.5654296875 1436.585205078125 1695.42041015625],0.46182551980018616,GX15OGJ,0.42640920075318883
79,6.0,[1035.5630199677757 1291.4252103381698 1684.9344033473658 1804.5625147449057],[1262.4012451171875 1607.1983642578125 1458.802734375 1695.5401611328125],0.5210778713226318,GX15QGJ,0.35439085042513274
81,6.0,[1023.3394172927801 1304.3180028799532 1681.4490085489042 1819.534307544194],[1242.923583984375 1625.422607421875 1447.9410400390625 1713.6951904296875],0.4402208924293518,CX15OGJ,0.26861328905659915
82,6.0,[1017.2266011267413 1308.0689984976364 1678.7973481383376 1825.2561070680097],[1248.878173828125 1633.0460205078125 1443.19189453125 1717.5858154296875],0.5122247338294983,GX15OCJ,0.30797680850855763
83,6.0,[1014.2729604901413 1315.1634791579647 1681.5582836584183 1836.0328617162365],[1234.6396484375 1637.2159423828125 1431.118408203125 1718.6663818359375],0.48078444600105286,GX15OCJ,0.28558599132647483
84,6.0,[1009.4219187471078 1323.0193891786603 1682.2114397627531 1846.4060043866039],[1228.509521484375 1641.9595947265625 1437.0076904296875 1729.278564453125],0.5614854097366333,CX15OGJ,0.2907881393530771
86,6.0,[1002.1268383168872 1330.346836843615 1683.176266774943 1857.7801154858728],[1236.6981201171875 1651.671142578125 1438.1500244140625 1744.28515625],0.4883368909358978,GX15OCJ,0.5964494689967573
87,6.0,[997.2188008211232 1333.7637732795372 1683.459737708798 1864.7765940121778],[1244.54296875 1669.5418701171875 1435.1414794921875 1753.1544189453125],0.5215153098106384,GX15OCJ,0.2367855332459695
88,6.0,[995.4760125849116 1335.0556246694568 1684.147160821793 1869.9611278416564],[1245.9283447265625 1672.8526611328125 1438.31884765625 1756.2293701171875],0.5586778521537781,GX15OCJ,0.16176806969901839
89,6.0,[994.1481928417206 1339.8233776846423 1685.0884167582794 1874.613482533403],[1237.0535888671875 1681.8453369140625 1433.716552734375 1765.9361572265625],0.5787187218666077,GX15OCJ,0.5063953213844048
